Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
Golden lyre : a new collection of church music ...,"Taylor, Virgil Corydon","Utica, NY; New York, NY; Boson, MA; Philadelphia, PA; Hartford, CT; Portland, ME; Providence, RI; Albany, NY; Buffalo, NY; Rochester, NY; Cleveland, OH; Detroit, MI; Chicago, IL; Richmond, VA","John W. Fuller and Co.; C. M. Saxto; A. S. Barnes and Co.; B. B. Mussey and Co.; Gould and Lincoln; Thomas Cowperthwait and Co.; O. D. Case and Co.; Brockett, Fuller and Co.; Sanborn and Carter Mather and Burr; E. H. Pease and Co.; Phinney and Co.; Erastus Darrow; S. Brainard; M. C. Younglove and Co.; Marvin Allen; C. Morse and Son; S. C. Griggs and Co.; A. H. and C. Burley; Harold and Murray",,,1850,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,Y?,Y?,,,,,,MTSU,MTSU (local),,Y,,,
Golden voices,"Ramsey, Will M.; Leister, L. B.; Robertson, L. A.; Brooks, A. G.; Morris, W. H.; Beazley, Samuel W.; Harris, Alvis, Bradshaw, Nellie Shorthill; Lawing, Willie; Widmeyer, C. B.; Gillentine, E. C.; Watts, J. H.; Craig, Leonard; Jones, Z. A.; Presley, Luther G.","Little Rock, AR",The Central Music Company,,,1914,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Gospel hosannas : for Sunday-schools, revivals, singing schools, conventions, and general use in Christian work and worship","Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1913,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Gospel in song no. 2,"Page, R. L., Jr.","Belmont, MS",The R. L. Page Music Company,,,1921,?,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Gospel message : a special collection of sacred songs for all religious work and worship,"Craton, John H.","Dallas, GA; Dothan, AL",The Leaders Music Company,,,1924,?,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Gospel pilot hymnal, The","Towner, D. B.; French, E.","Dayton, OH; Chicago, IL",The Bible Institute Colportage Association,The Lorenz Publishing Company,,1899,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,MTSU,MTSU (local),,Y,,,
"Gospel tidings : a splendid collection of new songs, suitable for all religious work and worship, Sunday-schools, etc.","Morris, Homer F.; Vines, J. M.","Carrollton, GA?",Southern Music Co.?,,,1909,?,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Hackleman's male quartets,"Hackleman, W. E. M.","Cincinnati, OH",The Standard Publishing Company,,,1901,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Hallelujah songs,?,"Nashville, TN",Pentecostal Publishing Company,,,1920,?,,,?,?,,Pentecostal,?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Happy voices no. 8,"Moore, J. L.","Bethlehem, GA",J. L. Moore,,,1910,?,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Harmonia sacra : being a compilation of genuine church music ...,"Funk, Joseph","Mountain Valley, VA",Joseph Funk and Sons,,,1851,,,,?,?,oblong,Mennonite,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (local),,Y,,,
"Harmonia sacra : being a compilation of genuine church music comprising a great variety of metres, all harmonized for three voices","Funk, Joseph","Rockingham Co., VA",Joseph Funk and Sons,,,1860,,,,?,?,oblong,Mennonite,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (local),,Y,,,
"Harp of glory : for church, Sunday school ...","Leonard, George E.","Lexington, NC",Leonard Brothers,,,1898,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Harp of gold : for revivals, Sunday schools, conventions, and all religious work and worship","Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1912,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Harp of the South : a new and complete collection of church music, embracing the choicest compositions of Mason, Hastings ...","Woodbury, I. B.","New York, NY; Philadelphia, PA; Cincinnati, OH","Mason Brothers; Lippincott, Grambo & Co.; W. B. Smith & Co.",,,1853,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Harvest bells nos. 1, 2 and 3 combined","Penn, W. E.","St. Louis, MO",W. E. Penn,,,1892,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Harvest carols : for the church, Sunday school, singing convention ...","Henson, J. M.","Atlanta, GA",J. M. Henson,,,1920,Y,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Heavenly echoes for Sunday schools, singing schools & social gatherings no. 3","Vaughan, James B.","Athens, GA",J. B. Vaughan,,,191?,Y,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,"MTSU record gives this as ""192?"", but it is probably pre-1915 to precede no. 4"
Heavenly echoes no. 5,"Vaughan, Mrs. John B.","Athens, GA",The John B. Vaughan Music Co.,,,1920,Y,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,Y,,Y,,,,,,,,,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Heavenly echoes no. 8,"Vaughan, Mrs. John B.; Hazelwood, Austin","Athens, GA",John B. Vaughan,,,1924,Y,,,?,?,,,?,English,Sacred,Y?,,,,,Y,,,,,Y,,Y,,,,,,,,,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Heavenly light no. 2,"Grisham, R. N.; Faircloth, E. L.; Thomason, J. P.; Dean, E. S.; Ainsworth, E. L.; Tindley, C. A.; McQueen, A. A.; Teddlie, T. X.; Graves, W. J.; Gosnell, N. C.; Mullikin, W. A.; Waller, Leaffie","Greenville, SC",R. N. Grisham,,,1924,Y,,,?,?,,,?,English,Sacred,Y?,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Heavenly praises : for Sunday-schools, singing-schools, revivals, conventions and general use in Christian work and worship","Vaughan, James D.; Pace, Adger M.; Cooper, W. O.","Lawrenceburg, TN",James D. Vaughan,,,1925,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Herbert's anthems for chorus and quartet choirs,"Herbert, J. B.","Cincinnati, OH",Fillmore Brothers,,,1889,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Herbert's Bible anthems : a new collection of anthems, sentences, hymn-tunes, and chants ...","Herbert, J. B.","Cincinnati, OH",Fillmore Brothers,,,1885,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Highway of song, The","Mitchell, N. M.; Mitchell, J. B.","Dalton, GA",The A. J. Showalter Company,,,1892,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Highway to heaven : a new collection of gospel songs ...,"Showalter, A. J.; Showalter, J. Henry; Bowman, J. M.; Mosley, T. B.","Dalton, GA; West Milton, OH; Dallas, TX",The A. J. Showalter Company; J. Henry Showalter Co.; Showalter-Patton Co.,,,1899,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
His voice in song,"Winsett, R. E.","Chattanooga, TN",R. E. Winsett Publishing Co.,,,1918,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Hymnbook,"Edwards, Mary","Bowling Green, KY",?,,,1900,Y,,,?,?,,,?,English,Sacred,Y?,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,SBTS,SBTS,,,Y,,"Manuscript. ""Some hymns have letter notations."" ""From the MSS Collection, Kentucky Library, Western Kentucky University."
Hymns of Calvary : a choice collection of old and new ...,"Dale, W. T.; Horton, H. A. R.; Palmer, H. R.; Thompson, Will L.; Doane, W. H.","Macon, GA",The J. R. Burke Company,,,1903,,,,?,?,,Presbyterian (Cumberland)?,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Hymns of the faith,"Excell, E. O.","St. Louis, MO",Christian Board of Publication,,,1901,,,,?,?,,Restorationist,?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Hymns worthy,?,"Chattanooga, TN?",Wm. J. Ramsay?,,,1922,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y?,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,MTSU record imprint info all supplied in brackets--copy imperfect?
Immanuel's harvester,"Stapleton, George W.; Moore, James C.; Long, Ira; McGlamry, O. L.; Lenderman, J. C.; Montford, H. B.; McRanie, J. J.; King, J. A.","McRae, GA",The Homeland Music Company,,,1915,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Jewel songs no. 1,?,"Nashville, TN",Pentecostal Mission Publishing Co.,,,1904,Y,,,?,?,,Pentecostal,?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Jewels for juniors,"Hackleman, W. E. M.; Excell, E. O.","Cincinnati, OH",The Standard Publishing Company,,,1911,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y?,,MTSU,MTSU (local),,Y,,,
Joy bells of glory : a compilation of fine spiritual new and old songs,"Winsett, R. E.","Chattanooga, TN",R. E. Winsett,,,1925,Y,,,?,?,,,?,English,Sacred,Y?,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Jugend-Harfe : eine Sammlung von 93 Melodien ...,"Liebhart, H.","Cincinnati, OH; Chicago, IL; St. Louis, MO; New York, NY",Cranston and Stowe; Phillips and Hunt,,,1867,,,,?,?,,Restorationist?,?,German,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,MTSU; University of Colorado Boulder,MTSU (local),,Y,,,"MTSU record gives title mistakenly as ""Jugend-harte"""
"Junior hymnal, The","Lewis, Hazel A.; Schroll, Eleanor, Allen; Fillmore, J. H.","St. Louis, MO",Christian Board of Publication,,,1923,,,,?,?,,Disciples of Christ,?,English,Sacred,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
King of kings : an Easter service for Sunday schools,"Nolte, Roy E.; Thomas, John J.; Fillmore, J. H.; Schroll, Eleanor Allen","Cincinnati, OH",Fillmore Music House,,,1923,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
King's praises no. 2 : compiled especially for evangelistic meetings ...,?,"Philadelphia, PA; Chicago, IL; Siloam Springs, AR",The Praise Publishing Company,,,1910,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,
Lasting songs : a new song book by seven brothers,"Beall, T. N.; Beall, B. B.; Beall, S. A.; Beall, J. Guy; Beall, John O.; Beall, Egbert H. S.; Beall, Preston L.","Douglasville, GA",B. B. Beall and Co.,,,1910,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Liederlust und Psalter : mit Anhang,"Liebhart, H.","Cincinnati, OH",Jennings and Pye,,,1884,,,,?,?,,Restorationist?,?,German,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Little hymn book, The","Moore, John M.?","Nashville, TN; Dallas, TX; Richmond, VA",Publishing House Methodist Episcopal Church,,,1913,,,,?,?,,"Methodist (MEC,S?)",?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y?,,MTSU,MTSU (local),,Y,,,"MTSU gives author just as ""John M."""
Little sacred songs for little singers,"Murray, James R.","Cincinnati, OH; Chicago, IL; New York, NY",The John Church Co.,,,1892,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Living gospel songs and choruses,?,"Chicago, IL; Little Rock, AR",Tabernacle Publishing Company; Southern Hymn Book Exchange,,,1925,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,MTSU also lists ed. without AR copublisher
Living songs,"Vaughan, James D.","Lawrenceburg, TN; Jacksonville, TX; Greenville, SC",James D. Vaughan,,,1924,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Living words : a collection of sacred songs, both new and old","Helton, Alfred E.; Young, Joseph S.; Doller, E. Chester; Poole, James W.; McLain, Jeff C.","Hudson, NC",The Teachers' Music Publishing Company,,,1924,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Mannerchor : a collection of music for men's voices,"Root, George F.","Cincinnati, OH; Chicago, IL",John Church and Co.; George F. Root and Sons,,,1873,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,"MTSU local does not produce diacritics, so I have no clue whether there is an umlaut in the title"
"Master's praise, The : for evangelistic services, church, and Sunday school","Jones, John H.; Ackley, B. D.","Fort Smith, AR?",J. Harold Smith's Radio and Evangelistic Campaign,,,1925,,,,?,?,,Baptist (SBC),?,English,Sacred,?,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,Date in MTSU catalog is almost certainly wrong--probably much later
McPhail's anthems for chorus or quartet choirs ...,McPhail. M. L.,"Cincinnati, OH; Chicago, IL; New York, NY",John Church Co.; Root and Sons Music Co.,,,1885,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
Modern anthems vol. 1 : a special collection of choice arrangements ...,?,"Cincinnati, OH; Chicago, IL; New York, NY",John Church Co.; Root and Sons Music Co.,,,1888,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Modern singer, The : a progressive course of practical exercises for learning to read music and a graded collection of select songs for study and social singing designed especially for use in popular ...","Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1917,,,,?,?,,,?,English,Mixed?,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
Musical notation : a course of study and elementary exercises .. in connection with Prayer and praise,"McIntosh, R. M.","Macon, GA",J. W. Burke and Co.,,,1887,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,"Apparently not bound with ""Prayer and Praise"" in this instance?"
"New Harmonia Sacra, The : a compilation of genuine church music ...","Funk, Joseph","Dayton, VA",Ruebush-Kieffer Co.,,,1923,,,,?,?,oblong,Mennonite,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,MTSU,MTSU (local),,Y,,,
New life no. 2,"McIntosh, R. M.; Cunnyngham, W. G. E.","Nashville, TN",Southern Methodist Publishing House,,,1887,,,,?,?,,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"New perfect praise : for Sunday-schools, singing-schools, revivals, conventions and general use in Christian work and worship","Vaughan, James D.","Lawrenceburg, TN",James D. Vaughan,,,1920,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
New songs of praise,"Helton, Alfred E.; Box, G. A.; Quillen, W. Henry; Hayes, Minnis R.; Bacon, George W.; Belue, M. Elgar; McCluskey, S. W.; Glover, Dolphus D.","Lenoir, NC",The Teachers' Music Publishing Company,,,1913,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Ninety and nine living songs,"Hall, S. H.; Hall, Flavil","Trion, GA",Mrs. Flavil Hall,,,1922,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Old story in song, The","Magann, Arthur S.; Kirkpatrick, William; Gilmore, H. L.","Siloam Springs, AR",The Revival Publishing Company,,,1906,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,MTSU,MTSU (local),,Y,,,
Patton's gospel hymns : a choice collection ...,"Patton, J. D.; Rosecrans, J. H.","Dalton, GA; Dallas, TX",A. J. Showalter Co.; Showalter-Patton Co.,,,1907,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Peans of praise,"Showalter, A. J.","Dalton, GA; Dallas, TX",A. J. Showalter Co.; Showalter-Patton Co.,,,1905,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Perry brothers' royal crown,"Perry, S. J.; Perry, J. C.; Perry, F. Clark","Dalton, GA; Dallas, TX; West Milton, OH",A. J. Showalter Co.; Showalter-Patton Co.; J. Henry Showalter Co.,,,1899,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Perry's brightest glory,"Perry, F. Clark; Perry, S. J.; Perry, J. C.; Byrd, G. T.","Waco, TX; Chattanooga, TN",Perry Bros. Music Company,,,1904,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Practical anthems vol. 6 : a collection of choice choir music ...,?,"Cincinnati, OH; New York, NY; Chicago, IL; Leipsic; London",John Church Company,,,1900,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Practical music reader no. 2, The","Ruebush, W. H.; Ruebush, J. H.; Good, J. S.","Dayton, VA",The Ruebush-Kieffer Co.,,,1920,Y,,,?,?,,,?,English,Mixed,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
Praise : a new song book (small volume--big scope),"Lincoln, H. N.; Edmonds, L. E.","Springfield, MO; Dallas, TX; Cincinnati, OH; Chicago, IL",Ozark Music Company; H. N. Lincoln & Sons,,,1914,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Praise divine : for Sunday schools, revivals, singing schools ...","Vaughan, James D.; Unseld, B. C.; Bowman, J. M.","Lawrenceburg, TN",James D. Vaughan,,,1917,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Praise him : containing many new and some of the best of the old hymns and tunes for all occasions of Christian work and worship,"Kirkpatrick, William J.; Lipscomb, A. B.","Nashville, TN",?,McQuiddy Printing Company,,1918,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Praise ye! : a collection of sacred songs,"Lorenz, E. S.; Wilson, Ira B.; Adams, Carrie B.; Morris, Mrs. C. H.","New York, NY; Dayton, OH",Lorenz Publishing Company,,,1913,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Primitive Baptist hymn and tune book : a collection of sacred hymns and tunes arranged to suit all occasions of public or private worship,"Daily, John R.; Daily, J. Harvey","Indianapolis, IN",John R. & Harvey Daily,,,1902,,,,?,?,,Baptist (Primitive),?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,MTSU,MTSU (local),,Y,,,
Psalms and hymns and spiritual songs : a manual of worship for the Church of Christ,"Robinson, Charles S.","Richmond, VA; New York, NY",Presbyterian Committee of Preservation,The Century Company,,1882,,,,?,?,,Presbyterian (PCUS),?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Psalms, hymns and spiritual songs : for all Christian work and worship","Showalter, J. Henry; Mosley, T. B.","West Milton, OH; Nashville, TN; Dalton, GA; Dallas, TX",J. Henry Showalter Co.; A. J. Showalter Co.; Showalter-Patton Co.,,,1899,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Psalms, hymns and spiritual songs : for all Christian work and worship","Showalter, J. Henry; Morris, Homer F.; Swanzey, T. J.","Birmingham, AL; Cincinnati, OH; West Milton, OH",Association Publishing Co.; Showalter Brothers,,,1904,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Psalms, hymns and spiritual songs nos. 1 and 2 combined","Showalter, J. Henry; Holsinger, George B.","West Milton, OH; Bridgewater, VA; Atlanta, GA; Nashville, TN; Morgan, TX",Showalter; Holsinger; Perry Bros.,,,1895,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Pure diamonds,"Murray, James R.","Cincinnati, OH",George E. Stevens and Co.,,,1872,Y,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y?,,MTSU,MTSU (local),,Y,,,Most of MTSU local record provided in brackets--imperfect copy?
Redemption songs,"Benson, John T.; Benson, Mrs. John T.","Nashville, TN",Pentecostal Mission Publishing Co.,,,1913,Y,,,?,?,,Pentecostal,?,English,Sacred,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Revival gems,?,"Dayton, VA",The Ruebush-Kieffer Co.,,,1921,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,MTSU,MTSU (local),,Y,,,
Revival praise,"Showalter, A. J.","Dalton, GA; Dallas, TX; Chattanooga, TN",The A. J. Showalter Company; The Showalter-Patton Company; Perry Bros. Music Co.,,,1918,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,MTSU,MTSU (local),,Y,,,
Riches of grace : a collection of new songs and standard hymns ...,"Lorenz, E. S.; Gabriel, Charles H.; Ogden, W. A.; Tenney, J. H.; Geibel, Adam; Myers, George E.","Dayton, OH",Lorenz and Co.,,,1897,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Sacred harp, The : a collection of psalm and hymn tunes, odes, and anthems ...","White, B. F.; King, E. J.","Atlanta, GA; Savannah, Ga; Mobile, AL; Little Rock, AR; Louisville, KY; Baltimore, MD; St. Louis, MO; New York, NY; Philadelphia, PA",Charles P. Byrd; Phillips and Crew; S. P. Richards and Son; Ludden and Bates; J. K. Randall; Wilson and Webb; J. P. Morton and Co.; T. Newton Kurtz; John L .Boland; Collins and Brother; A. S. Barnes and Co.; J. B. Lippincott and Co.,,,1870,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (local),,Y,,,The other MTSU local record lacks the New York and Philadelphia publishers but is otherwise identical
Salvation songs,"Hildebrand, E. T.","Basic, VA",Hildebrand-Burnett,,,1921,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Scelta songs : a collection of sacred songs, both new and old, for the church ...","Helton, Alfred E.; Hickman, E. T.; Young, H. O.","Hudson, NC",Teachers' Music Publishing Co.,,,1925,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Search-light songs,"Cornelius, R. H.","Dallas, TX; Dalton, GA",Showalter-Patton Co.; The A. J. Showalter Co.,,,1905,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Seed sower : a collection of songs for Sunday schools and gospel meetings,"Myers, A. F.","Baltimore, MD",Methodist Protestant Book Concern,,,1897,,,,?,?,,Methodist (Protestant),?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Select songs of praise,"Beazley, Samuel W.","Louisville, KY",Pentecostal Publishing Co.,,,1923,,,,?,?,,Pentecostal,?,English,Sacred,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Selections of plantation songs : as sung by Donavin's famous Tennesseans,"Donavin, J. W.?","Nashville, TN?; Delaware, OH?",?,"Fleming and Benson, printers",,1881,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,MTSU,MTSU (local),,Y,,,
Service song book prepared for the men of the Army and Navy ...,?,"New York, NY",Young Men's Christian Association Press,,,1903,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,MTSU,MTSU (local),,Y,,,
